,Sex,Cancer,Age Group,Count
3,Female,Pancreas,5-9 years,17
4,Female,Pancreas,10-14 years,38
5,Female,Pancreas,15-19 years,92
6,Female,Pancreas,20-24 years,185
7,Female,Pancreas,25-29 years,345
8,Female,Pancreas,30-34 years,636
9,Female,Pancreas,35-39 years,1453
10,Female,Pancreas,40-44 years,3448
11,Female,Pancreas,45-49 years,7050
12,Female,Pancreas,50-54 years,12311
13,Female,Pancreas,55-59 years,18467
14,Female,Pancreas,60-64 years ,24257
15,Female,Pancreas,65-69 years,29196
16,Female,Pancreas,70-74 years,35149
17,Female,Pancreas,75-79 years,39120
18,Female,Pancreas,80-84 years,37319
19,Female,Pancreas,85+ years,42498
