,Sex,Cancer,Age Group,Count
4,Male,Pancreas,10-14 years,20
5,Male,Pancreas,15-19 years,53
6,Male,Pancreas,20-24 years,114
7,Male,Pancreas,25-29 years,250
8,Male,Pancreas,30-34 years,644
9,Male,Pancreas,35-39 years,1745
10,Male,Pancreas,40-44 years,4607
11,Male,Pancreas,45-49 years,10024
12,Male,Pancreas,50-54 years,18191
13,Male,Pancreas,55-59 years,26309
14,Male,Pancreas,60-64 years ,32225
15,Male,Pancreas,65-69 years,35420
16,Male,Pancreas,70-74 years,36618
17,Male,Pancreas,75-79 years,35223
18,Male,Pancreas,80-84 years,27779
19,Male,Pancreas,85+ years,21291
